Building Name (1),樓宇名稱 (一),Building Name (2),樓宇名稱 (二),Building Name (3),樓宇名稱 (三),Address (1),樓宇地址(一),Address (2),樓宇地址(二),Address (3),樓宇地址(三),"Year of Completion
落成年份","Owners' Corporation
業主立案法團",Remark,備註
Hai Xin Building,海信大廈,,,,,17 Hart Avenue,赫德道17號,,,,,1989,,,
"Haiphong Rd Temporary Market &
Cooked Food Hawker Bazaar & 
Refuse Collection Point","海防道臨時街市及熟食
小販市場及垃圾收集站",,,,,28 Haiphong Rd.,海防道28號,,,,,-,,,
"Haking (Tung Shing) Industrial
Building",寶源(東丞)工業樓,,,,,34 Lee Chung St.,利眾街34號,,,,,1977,,,
Haking Mansions,,,,,,43 Barker Rd.,白加道43號,,,,,2001,,,
Haleson Building,喜訊大廈,,,,,1 Jubilee St.,租庇利街1號,,,,,1983,,,
Hamburg Villa,涵碧別墅,,,,,8/10 Eastbourne Rd.,義本道8/10號,,,,,1970,P,,
Hamden Court,康濤閣,,,,,149-151 Hong Ning Rd.,康寧道149-151號,,,,,1985,P,,
Hamford Court,恒暉閣,,,,,335 Prince Edward Rd. W.,太子道西335號,,,,,1982,P,,
Hamilton Building,咸美頓大廈,,,,,1/5A Hamilton St.,咸美頓街1/5A號,,,,,1969,P,,
Hamilton Court,愛敦大廈,,,,,8 Po Shan Rd.,寶珊道8號,,,,,1974,,,
Hamilton Mansion,美登大廈,,,,,1 & 3 Cleveland St.,加寧街1及3號,,,,,1962,P,,
Hammer Hill Rd. Swimming Pool,斧山道游泳池,,,,,30 Lung Cheung Rd.,龍翔道30號,,,,,-,,,
Hampton Place,凱帆軒,,,,,11 Hoi Fan Rd.,海帆道11號,,,,,2003,P,,
Han Cheong Building,恒昌大廈,,,,,20-26 Shanghai St.,上海街20-26號,,,,,1979,P,,
Han Hing Building,恒興大廈,,,,,1 & 3 Fuk Wa St.,福華街1及3號,,,,,1979,P,,
Han Hing Mansion,漢興大廈,,,,,38/40 Hankow Rd.,漢口道38/40號,,,,,1964,P,,
Han Palace Building,漢宮大廈,,,,,441/447 King's Rd.,英皇道441/447號,,,,,1968,P,,
Hanaevilla,漢苑,,,,,28/30 Stubbs Rd.,司徒拔道28/30號,,,,,1959,,,
Hanchung Mansion,漢中大廈,,,,,8 & 10 Hankow Rd.,漢口道8及10號,,,,,1962,P,,
Hand Cheong Court,恒昌閣,,,,,22/28 Sai Wan Ho St.,西灣河街22/28號,,,,,1993,P,,
Hand Fair Court,恒輝閣,,,,,255 Castle Peak Rd.,青山道255號,,,,,1993,P,,
Hand Wai Court,恒威閣,,,,,21/23 Un Chau St.,元州街21/23號,,,,,1994,P,,
Hanfast Building,恒發大廈,,,,,147-151 Pei Ho St.,北河街147-151號,,,,,1984,P,,
Hanford Commercial Centre,恒福商業中心,,,,,221C/221D Nathan Rd.,彌敦道221C/221D號,,,,,1983,,,
Hang Bong Commercial Centre,恒邦商業中心,,,,,28 Shanghai St.,上海街28號,,,,,1994,,,
Hang Cheong Building,恒昌樓,,,,,"Ground Floor:
230 & 234 Tai Nan St.
Upper Floors:
232 Tai Nan St.","地下︰
大南街230及234號
樓上各層︰
大南街232號",,,,,1983,P,,
Hang Cheong Centre,恒昌中心,,,,,138 Bedford Rd.,必發道138號,,,,,1993,P,,
Hang Cheong Factory Building,恒昌工廠大廈,,,,,1 Wing Ming St.,永明街1號,,,,,1970,P,,
Hang Cheong Tai Building,恒昌泰大廈,,,,,21/23 Ko Shing St.,高陞街21/23號,,,,,1985,P,,
Hang Chun Court,幸俊苑,,,,,2 Hang Cheung St.,幸祥街2號,,,,,2001,P,See Appendix IV,見附錄IV
Hang Chun Court,幸俊苑,Chun Lai House (Block A),俊禮閣 (A座),,,,,,,,,,P,See Appendix IV,見附錄IV
Hang Chun Court,幸俊苑,Chun Yin House (Block B),俊賢閣 (B座),,,,,,,,,,P,See Appendix IV,見附錄IV
Hang Fai Building,恒輝大廈,,,,,"27 North St. &
67-83 Belcher's St.","北街27號及
卑路乍街67-83號",,,,,1972,P,,
Hang Fai Building,恒輝大廈,,,,,"Ground Floor:
22/32 Pok Fu Lam Rd. &
127B Third St.
Upper Floors:
22/32 Pok Fu Lam Rd.","地下︰
薄扶林道22/32號及
第三街127B號
樓上各層︰
薄扶林道22/32號",,,,,1974,P,,
Hang Fat Building,恆發大廈,,,,,138/140 Wing Lok St.,永樂街138/140號,,,,,1974,P,,
Hang Fat Industrial Building,恒發工業大廈,,,,,550-556 Castle Peak Rd.,青山道550-556號,,,,,1981,,,
Hang Fat Trading House,恒發貿易大廈,,,,,"Ground Floor:
52 Bonham Strand W. &
3 Heung Hing Lane
Upper Floors:
3 Heung Hing Lane","地下︰
文咸西街52號及
香馨里3號
樓上各層︰
香馨里3號",,,,,1982,P,,
Hang Fook Building,恒福大廈,,,,,170/174 Shanghai St.,上海街170/174號,,,,,1964,,,
Hang Fook Building,恒福大廈,,,,,17-23 Shanghai St.,上海街17-23號,,,,,1979,P,,
Hang Fook Mansion,恒福樓,,,,,"1/5 Fuk Sau Lane &
127A Third St.","福壽里1/5號及
第三街127A號",,,,,1981,,,
Hang Fung Building,恒豐大廈,,,,,17/19 Wong Nai Chung Rd.,黃泥涌道17/19號,,,,,1971,P,,
Hang Fung Industrial Building,恒豐工業大廈,,,,,2G Hok Yuen St.,鶴園街2G號,,,,,1979,P,,
Hang Hing Court,恒興樓,,,,,"Ground Floor:
2-6, 10-14 Fuk Sau Lane &
123-125 Third St.
Upper Floors:
8 Fuk Sau Lane","地下︰
福壽里2-6、10-14號及
第三街123-125號
樓上各層︰
福壽里8號",,,,,1984,P,,
Hang Lok Building,恒樂大廈,,,,,"16/18 Tung Loi Lane &
128/130 Wing Lok St.","東來里16/18號及
永樂街128/130號",,,,,1970,,,
Hang Lung Bank Building,恒隆銀行大廈,,,,,46/48 Granville Rd.,加連威老道46/48號,,,,,1978,P,,
"Hang Lung Bank Eastern
Branch Building",恒隆銀行東區分行大廈,,,,,391 King's Rd.,英皇道391號,,,,,1977,P,,
"Hang Lung Bank Western
Branch Building",恒隆銀行西區分行大廈,,,,,"15 Hill Rd. &
441 Queen's Rd. W.","山道15號及
皇后大道西441號",,,,,1982,P,,
Hang Lung Centre,恒隆中心,,,,,2-20 Paterson St.,百德新街2-20號,,,,,1975,,,
Hang Lung House,恒隆大廈,,,,,184/192 Queen's Rd. C.,皇后大道中184/192號,,,,,1968,P,,
Hang Lung Mansion,恒隆大廈,,,,,"Ground Floor:
578/580 Nathan Rd. &
46 Dundas St.
Upper Floors:
578/580 Nathan Rd. &
44/46 Dundas St.","地下︰
彌敦道578/580號及
登打士街46號
樓上各層︰
彌敦道578/580號及
登打士街44/46號",,,,,1963,P,,
Hang Moon Building,恒滿樓,,,,,"38 & 40 Cheung Sha Wan
Rd.",長沙灣道38及40號,,,,,1976,P,,
Hang Ning Court,恒寧閣,,,,,253/263 Shun Ning Rd.,順寧道253/263號,,,,,1981,P,,
Hang On Building,恒安樓,,,,,13/17 Hang On St.,恒安街13/17號,,,,,1966,P,,
Hang On Building,恒安大樓,,,,,"157/163A Sai Yeung Choi
St. N.","西洋菜北街
157/163A號",,,,,1963,P,,
Hang On Building,恒安樓,,,,,226/232 Queen's Rd. E.,皇后大道東226/232號,,,,,1992,,,
Hang On Building,恒安樓,,,,,"46A-46C Kweilin St. &
88-90 Fuk Wing St.","桂林街46A-46C號及
福榮街88-90號",,,,,1966,P,,
Hang On Building,恒安大廈,,,,,"Ground Floor:
43, 45, 47, 49, 51, 55, 57 &
59 Po Kong Village Rd.
Upper Floors:
53 Po Kong Village Rd.","地下︰
蒲崗村道43、45、47、
49、51、55、57及59號
樓上各層︰
蒲崗村道53號",,,,,1980,P,,
Hang On Mansion,恒安唐樓,,,,,19/23 Hang On St.,恒安街19/23號,,,,,1964,,,
Hang Po Building,恒寶大廈,,,,,6 & 8 Mercury St.,水星街6及8號,,,,,1980,P,,
Hang Pont Commercial Building,恒邦商業大廈,,,,,31 Tonkin St.,東京街31號,,,,,1982,P,,
Hang Seng 113,恒生113,,,,,113 Argyle St.,亞皆老街113號,,,,,1996,,,
"Hang Seng Bank Causeway Bay
Branch Building",恒生銀行銅鑼灣分行大廈,,,,,28 Yee Wo St.,怡和街28號,,,,,1998,,,
"Hang Seng Bank Headquarter's
Building",恒生銀行總行大廈,,,,,83 Des Voeux Rd. C.,德輔道中83號,,,,,1991,,,
"Hang Seng Bank Kowloon City
Branch Building",恒生銀行九龍城分行大廈,,,,,360 Prince Edward Rd. W.,太子道西360號,,,,,1967,,,
"Hang Seng Bank Tsimshatsui
Branch Building",恒生銀行尖沙咀分行大廈,,,,,18 Carnarvon Rd.,加拿分道18號,,,,,1973,,,
"Hang Seng Castle Peak
Road Building",恒生青山道大廈,,,,,339 Castle Peak Rd.,青山道339號,,,,,1976,,,
Hang Seng Centre,恒生中心,,,,,95-97 Tung Chau St.,通州街95-97號,,,,,1993,P,,
Hang Seng Mongkok Building,恒生旺角大廈,,,,,677 Nathan Rd.,彌敦道677號,,,,,1995,,,
Hang Seng North Point Building,恒生北角大廈,,,,,335/341 King's Rd.,英皇道335/341號,,,,,1983,,,
Hang Seng Wanchai Building,恒生灣仔大廈,,,,,200 Hennessy Rd.,軒尼詩道200號,,,,,1975,,,
Hang Shan Court,恒山閣,,,,,9 Ko Shan Rd.,高山道9號,,,,,1981,P,,
Hang Shing Building,恒盛大廈,,,,,2/10 Tam Kung Rd.,譚公道2/10號,,,,,1965,P,,
Hang Shing Building,恆成大樓,,,,,"22/24 Cheung Sha Wan Rd.
& 25E/25F Poplar St.","長沙灣道22/24號及
白楊街25E/25F號",,,,,1964,P,,
Hang Shing Building,恒成大廈,,,,,363/373 Nathan Rd.,彌敦道363/373號,,,,,1975,P,,
Hang Shing Building,恒誠大廈,,,,,"Ground Floor:
119/125 Fuk Wing St. &
42 Kweilin St.
Upper Floors:
44 Kweilin St.","地下︰
福榮街119/125號及
桂林街42號
樓上各層︰
桂林街44號",,,,,1973,P,,
Hang Shing Lau,恒盛樓,,,,,"Lower Ground Floor:
44 & 44A Jervois St.
Ground & Upper Floors:
219 Queen's Rd. C.","地下低層：
蘇杭街44及44A號
地下及樓上各層：
皇后大道中219號",,,,,1967,,,
Hang Shun Building,恆信大廈,,,,,12 Wyndham St.,雲咸街12號,,,,,1964,,,
Hang Shun Building,恒順大樓,,,,,27-41 Boundary St.,界限街27-41號,,,,,1964,P,,
Hang Shun Building,恒順大廈,,,,,37-39 Tonkin St.,東京街37-39號,,,,,1980,P,,
Hang Shun Commercial Building,恒信商業大廈,,,,,12 Cameron Rd.,金馬倫道12號,,,,,1992,,,
Hang Shun Mansions,恒信大廈,,,,,68/82 Jaffe Rd.,謝斐道68/82號,,,,,1985,P,,
Hang Sing Mansion,恒陞大樓,,,,,48/78 High St.,高街48/78號,,,,,1972,P,,
Hang Tak Building,恒德大廈,,,,,1 Electric St.,電氣街1號,,,,,1966,P,,
Hang Tat Building,恆達大廈,,,,,"80/82 Nam Cheong St. &
236 Tai Nan St.","南昌街80/82號及
大南街236號",,,,,1965,P,,
Hang Tat Mansion,恒達樓,,,,,161/165 Lockhart Rd.,駱克道161/165號,,,,,1980,P,,
Hang Tsui Court,杏翠苑,,,,,63 Wing Tai Rd.,永泰道63號,,,,,1997,P,See Appendix IV,見附錄IV
Hang Tsui Court,杏翠苑,Tsui Ching House (Block A),翠晶閣 (A座),,,,,,,,,,P,See Appendix IV,見附錄IV
Hang Tsui Court,杏翠苑,Tsui Ying House (Block B),翠瑩閣 (B座),,,,,,,,,,P,See Appendix IV,見附錄IV
Hang Tung Building,恒通大廈,,,,,"9th Floor - 15th Floor
1116 Canton Rd. &
26 Bute St.","9樓至15樓
廣東道1116號及
弼街26號",,,,,1975,P,,
Hang Tung Resources Centre,恆通資源中心,,,,,18 A Kung Ngam Village Rd.,阿公岩村道18號,,,,,1996,,,
Hang Wai Commercial Building,恒威商業大廈,,,,,231/233 Queen's Rd. E.,皇后大道東231/233號,,,,,1991,P,,
Hang Wan Building,恒運大廈,,,,,42-44 Granville Rd.,加連威老道42-44號,,,,,1974,P,,
Hang Wan House,恒運樓,,,,,141 Reclamation St.,新填地街141號,,,,,1987,P,,
Hang Wong Building,恒旺樓,,,,,19 & 21 Stone Nullah Lane,石水渠街19及21號,,,,,1980,P,,
Hang Ying House,恒英大廈,,,,,318/328 King's Rd.,英皇道318/328號,,,,,1973,P,,
Hang Ying House,恒英樓,,,,,326 Shanghai St.,上海街326號,,,,,1975,,,
Hang Yu Building,恒裕大廈,,,,,45-55 Cadogan St.,加多近街45-55號,,,,,1980,,,
Hang Yue Building,恒裕大廈,,,,,334/350 Des Voeux Rd. W.,德輔道西334/350號,,,,,1976,P,,
Hang Yue Court,恒裕閣,,,,,8 Pitt St.,碧街8號,,,,,1994,,,
Hanison Villa,馨石苑,,,,,1 Dianthus Rd.,石竹路1號,,,,,1993,P,,
Hanking Court,恒景園,,,,,43/49 Cloud View Rd.,雲景道43/49號,,,,,1974,P,,
Hankow Apartments,漢口大廈,,,,,43/49A Hankow Rd.,漢口道43/49A號,,,,,1959,P,,
Hankow Centre,漢口中心,,,,,"Ground Floor:
5-15 Hankow Rd.,
41-45, 49-51 Peking Rd.,
4, 4B Ashley Rd. &
1-1B, 1D-1E Middle Rd.
Upper Floors:
5/15 Hankow Rd.,
(1st-3rd Floors: Offices)
47 Peking Rd.,
Flats A1-A6)
(4th-Top Floors:
4A Ashley Rd.,
(4th-Top Floors:
Flats B1-B8)
1C Middle Rd.,
(4th-Top Floors:
Flats C1-C6)","地下︰
漢口道5-15號
北京道41-45、49-51號
亞士厘道4、4B號及
中間道1-1B、1D-1E號
樓上各層︰
漢口道5/15號
(1樓至3樓︰寫字樓)
北京道47號
A1-A6座)
(4樓至頂樓︰
亞士厘道4A號
(4樓至頂樓︰
B1-B8座)
中間道1C號
(4樓至頂樓︰
C1-C6座)",,,,,1968,P,,
Hanley House,恒利大廈,,,,,68/80 Canton Rd.,廣東道68/80號,,,,,1977,P,,
Hanley House,恒利商業大廈,,,,,776-778 Nathan Rd.,彌敦道776-778號,,,,,1983,,,
Hannover Court,恒懋大樓,,,,,85/91 Waterloo Rd.,窩打老道85/91號,,,,,1963,P,,
Hansen Court,亨順閣,,,,,3 St. Stephen's Lane,聖士提反里3號,,,,,1989,P,,
Hanway Commercial Centre,恒威商業中心,,,,,36 Dundas St.,登打士街36號,,,,,1994,P,,
Hanwin Mansion,慶雲大廈,,,,,71/77 Lyttelton Rd.,列堤頓道71/77號,,,,,1965,P,,
Hanyee Building,漢宜大廈,,,,,19/21 Hankow Rd.,漢口道19/21號,,,,,1960,P,,
Happy Building,多喜大廈,,,,,45 Yuet Wah St.,月華街45號,,,,,1965,P,,
Happy Building,快樂大廈,,,,,"Basement:
222/230 Tai Po Rd.
Ground Floor:
222-230 Tai Po Rd. &
201 Pei Ho St.
1st Floor:
222/230 Tai Po Rd.
Upper Floors:
201 Pei Ho St.","地庫︰
大埔道222/230號
地下︰
大埔道222-230號及
北河街201號
1樓︰
大埔道222/230號
樓上各層︰
北河街201號",,,,,1983,,,
Happy Centre,雙喜中心,,,,,178/184 Cheung Sha Wan Rd.,長沙灣道178/184號,,,,,1982,P,,
Happy Court,樂園,,,,,15 & 17 Man Fuk Rd.,文福道15及17號,,,,,1966,P,,
Happy Court,快活閣,,,,,25/27 Village Rd.,山村道25/27號,,,,,1973,P,,
Happy Court,海怡閣,,,,,39E Sing Woo Rd.,成和道39E號,,,,,1993,P,,
Happy Garden,雅樂園,,,,,85 Broadcast Drive,廣播道85號,,,,,1976,P,,
Happy Garden,仁歡花園,,,,,233/239 Sai Yee St.,洗衣街233/239號,,,,,1984,P,,
Happy House,樂景樓,,,,,5 Ching Wah St.,清華街5號,,,,,1966,P,,
Happy Mansion,快活大廈,,,,,"39/41 Wong Nai Chung Rd.
& 54/56 Ventris Rd.","黃泥涌道39/41號及
雲地利道54/56號",,,,,1967,,,
Happy Mansion,快樂大廈,,,,,42A/42E MacDonnell Rd.,麥當勞道42A/42E號,,,,,1955,P,,
Happy Mansion,樂苑大廈,,,,,60-62 Village Rd.,山村道60-62號,,,,,1964,P,,
"Happy Valley & Canal Rd. District
Kai Fong Welfare Association",跑馬地鵝頸橋街坊福利會,,,,,431 Hennessy Rd.,軒尼詩道431號,,,,,1985,,,
Happy Valley 88,,,,,,42 Blue Pool Rd. ,藍塘道42號,,,,,2005,,,
Happy Valley Driving Test Centre,跑馬地駕駛考試中心,,,,,15 Hawthorn Rd.,荷塘道15號,,,,,-,,,
"Happy Valley Sub-divisional
Police Station",跑馬地分區警署,,,,,60 Sing Woo Rd.,成和道60號,,,,,-,,,
Happy View Building,樂景大廈,,,,,"165/167 Main St.,
Ap Lei Chau","鴨洲大街
165/167號",,,,,1981,P,,
Happy View Court,華景閣,,,,,2-8A Happy View Terrace,樂景臺2-8A號,,,,,1959,P,,
Happy Villa,樂園,,,,,94 Blue Pool Rd.,藍塘道94號,,,,,1972,P,,
Harbour Bay Hotel,維港灣酒店,,,,,1 Minden Avenue,棉登徑1號,,,,,1998,,,
Harbour Building,海港政府大樓,,,,,38 Pier Rd.,統一碼頭道38號,,,,,-,,,
Harbour Centre,海港中心,,,,,25 Harbour Rd.,港灣道25號,,,,,1982,,,
Harbour Centre Tower 1,維港中心第一座,,,,,1 Hok Cheung St.,鶴翔街1號,,,,,1989,P,,
Harbour Centre Tower 2,維港中心第二座,,,,,8 Hok Cheung St.,鶴翔街8號,,,,,1990,P,,
Harbour City,海港城,,,,,,,,,,,,,,
Harbour City,海港城,Ocean Centre,海洋中心,,,,,5 Canton Rd.,廣東道5號,,,1977,,,
Harbour City,海港城,The Gateway Prudential Tower,港威英國保誠保險大樓,,,,,21 Canton Rd.,廣東道21號,,,1999,,,
Harbour City,海港城,The Gateway Tower 1,港威1座,,,,,25 Canton Rd.,廣東道25號,,,1994,,,
Harbour City,海港城,The Gateway Tower 2,港威2座,,,,,25 Canton Rd.,廣東道25號,,,1994,,,
Harbour City,海港城,The Gateway Tower 5,港威5座,,,,,15 Canton Rd.,廣東道15號,,,1999,,,
Harbour City,海港城,The Gateway Tower 6,港威6座,,,,,9 Canton Rd.,廣東道9號,,,1999,,,
Harbour City,海港城,The Marco Polo Gateway,馬哥孛羅港威酒店,,,,,13 Canton Rd.,廣東道13號,,,1981,,,
Harbour City,海港城,The Marco Polo Hongkong Hotel,馬哥孛羅香港酒店,,,,,3 Canton Rd.,廣東道3號,,,1970,,,
Harbour City,海港城,The Marco Polo Prince,馬哥孛羅太子酒店,,,,,23 Canton Rd.,廣東道23號,,,1981,,,
Harbour City,海港城,Wharf T & T Centre,九倉電訊中心,,,,,7 Canton Rd.,廣東道7號,,,1981,,,
Harbour City,海港城,World Commerce Centre,世界商業中心,,,,,11 Canton Rd.,廣東道11號,,,1982,,,
Harbour City,海港城,World Finance Centre,環球金融中心,,,,,17/19 Canton Rd.,廣東道17/19號,,,1983,,,
Harbour Commercial Building,海港商業大廈,,,,,122/124 Connaught Rd. C.,干諾道中122/124號,,,,,1975,P,,
Harbour Court,海港閣,,,,,17 Kai Yuen Terrace,繼園臺17號,,,,,1976,P,,
Harbour Crystal Centre,港晶中心,,,,,100 Granville Rd.,加連威老道100號,,,,,1982,P,,
Harbour Glory,維港頌,,,,,32 City Garden Rd.,城市花園道32號,,,,,2019,,,
Harbour Grand Hong Kong,港島海逸君綽酒店,,,,,23 Oil St.,油街23號,,,,,2008,,,
Harbour Grand Kowloon,九龍海逸君綽酒店,,,,,20 Tak Fung St.,德豐街20號,,,,,1995,,,
Harbour Green,君滙港,,,,,8 Sham Mong Rd.,深旺道8號,,,,,2006,,,
Harbour Heights,海峯園,,,,,,,,,,,1988,,,
Harbour Heights,海峯園,Ko Fung Court,高峯閣,,,,,5 Fook Yum Rd.,福蔭道5號,,,,,,
Harbour Heights,海峯園,Nam Fung Court,南峯閣,,,,,1 Fook Yum Rd.,福蔭道1號,,,,,,
Harbour Heights,海峯園,Sung Fung Court,崇峯閣,,,,,3 Fook Yum Rd.,福蔭道3號,,,,,,
Harbour Hotel,豪畔酒店,,,,,968/970 Canton Rd.,廣東道968/970號,,,,,1968,,,
Harbour Industrial Centre,港灣工貿中心,,,,,10 Lee Hing St.,利興街10號,,,,,1990,,,
Harbour Mission Church,海面傳道會禮拜堂,,,,,38 San Shi St.,新市街38號,,,,,1986,,,
Harbour One,維壹,,,,,458 Des Voeux Rd. W.,德輔道西458 號,,,,,2012,,,
Harbour Park,海柏匯,,,,,208 Tung Chau St.,通州街208號,,,,,2018,,,
Harbour Pinnacle,凱譽,,,,,8 Minden Avenue,棉登徑8號,,,,,2002,,,
Harbour Place,海濱南岸,,,,,8 Oi King St.,愛景街8號,,,,,2002,,,
Harbour Plaza 8 Degrees,8度海逸酒店,,,,,199 Kowloon City Rd.,九龍城道199號,,,,,2009,,,
Harbour Plaza North Point,北角海逸酒店,,,,,665 King's Rd.,英皇道665號,,,,,1999,,,
Harbour Road Indoor Games Hall,港灣道室內運動場,,,,,27 Harbour Rd.,港灣道27號,,,,,-,,,
Harbour View Garden,海怡花園,,,,,,,,,,,,P,,
Harbour View Garden,海怡花園,Tower 1,第一座,,,,,1 Sands St.,山市街1號,,,1992,P,,
Harbour View Garden,海怡花園,Tower 2,第二座,,,,,2 Catchick St.,吉席街2號,,,1992,P,,
Harbour View Garden,海怡花園,Tower 3,第三座,,,,,21 North St.,北街21號,,,1994,P,,
Harbour View Terrace,夏蕙臺,,,,,108/114 Tin Hau Temple Rd.,天后廟道108/114號,,,,,1965,P,,
Harbourfront Horizon All-suite Hotel,海灣軒 - 海景酒店,,,,,8 Hung Luen Rd.,紅鸞道 8號,,,,,2006,,,
Harbourfront Landmark,海名軒,,,,,11 Wan Hoi St.,環海街11號,,,,,2001,,,
Harbourside HQ,啟匯,,,,,8 Lam Chak St.,臨澤街8號,,,,,2008,,,
Harbourview Garden,維景雅軒,,,,,339 Prince Edward Rd. W.,太子道西339號,,,,,2000,P,,
Harbourview Horizon All-suite Hotel,海韻軒 - 海景酒店,,,,,12 Hung Lok Rd.,紅樂道 12號,,,,,2005,,,
Harcourt Garden,恒德大樓,,,,,1/3 Belfran Rd.,巴芬道1/3號,,,,,1964,P,,
Harcourt House,夏大廈,,,,,"1st & 2nd Floors:
33 Jaffe Rd.
Ground, 3rd &
Above Floors:
39 Gloucester Rd.","1樓及2樓︰
謝斐道33號
地下、3樓及
以上各層︰
告士打道39號",,,,,1987,,,
Harilela House,夏利里拉行,,,,,79 Wyndham St.,雲咸街79號,,,,,1966,P,,
Harilela Mansion,喜利大廈,,,,,81 Nathan Rd.,彌敦道81號,,,,,1965,P,,
Harita Court,恒泰大廈,,,,,"197/199A Prince Edward
Rd. W.",太子道西197/199A號,,,,,1963,P,,
Harmony,逸園,,,,,44 Stubbs Rd.,司徒拔道44號,,,,,2017,,,
Harmony Court,融園,,,,,20 & 22 Tai Hang Rd.,大坑道20及22號,,,,,1966,P,,
Harmony Court,萬和閣,,,,,"Ground Floor:
125 Bonham Strand
129 Bonham Strand &
147 Wing Lok St.
Upper Floors:
127 Bonham Strand","地下:
文咸東街125號
文咸東街129號
永樂街147號
樓上各層:
文咸東街127號",,,,,,P,See Appendix II,見附錄II
Harmony Garden,同興花園,,,,,61 Kowloon City Rd.,九龍城道61號,,,,,1996,P,,
Harmony Garden,富欣花園,,,,,9 Siu Sai Wan Rd.,小西灣道9號,,,,,1997,P,See Appendix V,見附錄V
Harmony Garden,富欣花園,Blocks 1 – 8,第1至8座,,,,,,,,,,P,See Appendix V,見附錄V
Harmony Garden,富欣花園,Xiyao Siu Sai Wan Kindergarten,喜耀小西灣幼稚園,,,,,,,,,,P,See Appendix V,見附錄V
Harmony House,涵碧樓,,,,,240/246 Yu Chau St.,汝州街240/246號,,,,,1965,P,,
Harmony Mansion,齊安大廈,,,,,"380/394 Hennessy Rd. &
1 Tin Lok Lane","軒尼詩道380/394號及
天樂里1號",,,,,1967,,,
Harmony Place,樂融軒,,,,,333 Shau Kei Wan Rd.,筲箕灣道333號,,,,,2014,,,
"H21 (G/F - 2/F)
(地下至2樓)",,,,,,,,,,,,,,,
Harrison Court,恒信大樓,,,,,106 & 106A Waterloo Rd.,"窩打老道106及
106A號",,,,,1963,P,,
Harrison Court (Phase II),恒信園二期,,,,,90/90A Waterloo Rd.,窩打老道90/90A號,,,,,1966,P,,
Harrison Court (Phase III),恒信園三期,,,,,7 Man Wan Rd.,文運道7號,,,,,1971,P,,
Harrison Court (Phase IV),恒信園四期,,,,,9 Man Wan Rd.,文運道9號,,,,,1971,P,,
Harrison Court (Phase V),恒信園五期,,,,,8 Man Wan Rd.,文運道8號,,,,,1972,P,,
Harrison Court (Phase VI),恒信園六期,,,,,10 Man Wan Rd.,文運道10號,,,,,1972,P,,
Harrow Mansion,海滙大廈,,,,,170/172 Aberdeen Main Rd.,香港仔大道170/172號,,,,,1994,P,,
Hart Avenue Court,夏蕙閣,,,,,19-23 Hart Avenue,赫德道19-23號,,,,,1984,P,,
Hart Avenue Plaza,德裕中心,,,,,5/9 Hart Avenue,赫德道5/9號,,,,,1990,P,,
Hart House,赫德大廈,,,,,12/14 Hart Avenue,赫德道12/14號,,,,,1977,P,,
Harvard Commercial Building,豪富商業大廈,,,,,105/111 Thomson Rd.,譚臣道105/111號,,,,,1976,P,,
Harvest Building,恒豐大廈,,,,,29/37 Wing Kut St.,永吉街29/37號,,,,,1976,P,,
Harvest Building,豐盛樓,,,,,66-68 Oak St.,橡樹街66-68號,,,,,1984,P,,
Harvest Court,恒時大樓,,,,,212/216 Argyle St.,亞皆老街212/216號,,,,,1964,P,,
Harvest Mansion,豐富大廈,,,,,"15, 17 & 19 San Wai St.",新圍街15、17及19號,,,,,1981,P,,
Harvest Moon House,金滿樓,,,,,337/339 Nathan Rd.,彌敦道337/339號,,,,,1964,,,
Harvest Moon Villa,頌月花園,,,,,5 Fuk Kwan Avenue,福群道5號,,,,,1991,P,,
Hatton House,赫頓大廈,,,,,15 Kotewall Rd.,旭龢道15號,,,,,1971,P,,
Hatton Place,杏彤苑,,,,,1A Po Shan Rd.,寶珊道1A號,,,,,1989,P,,
Hau Fook Building,厚福大樓,,,,,"Ground Floor:
562, 564, 566 &
570 Queen's Rd. W. &
4, 6 & 8 Yat Fu Lane
Upper Floors:
568 Queen's Rd. W.","地下︰
皇后大道西562、564、
566及570號及
日富里4、6及8號
樓上各層︰
皇后大道西568號",,,,,1976,,,
Hau Hing Mansion,巧興大廈,,,,,290 Ma Tau Wai Rd.,馬頭圍道290號,,,,,1974,P,,
Hau Wo Building,厚和樓,,,,,"3-3C Davis St.
44-52 Hau Wo St.","爹核士街3-3C號
厚和街44-52號",,,,,1973,,,
Hau Wo Court,厚威閣,,,,,25/33 Hau Wo St.,厚和街25/33號,,,,,1986,P,,
Hau Yuen,厚園,,,,,51 Shouson Hill Rd.,壽山村道51號,,,,,1997,,,
Haven Commercial Building,凱豐商業大廈,,,,,6/8 Tsing Fung St.,清風街6/8號,,,,,1983,P,,
Haven Court,希雲大廈,,,,,"Ground Floor:
128/138 Leighton Rd. &
2/30 Haven St.
Upper Floors:
134 Leighton Rd.","地下︰
禮頓道128/138號及
希雲街2/30號
樓上各層︰
禮頓道134號",,,,,1959,P,,
Haven Mansion,顯發大廈,,,,,108 Woosung St.,吳松街108號,,,,,1999,P,,
Havsun Garden,富達苑,,,,,8 Peony Rd.,牡丹路8號,,,,,1991,P,,
Haw Par Music,虎豹樂圃,,,,,15A Tai Hang Rd.,大坑道15A號,,,,,2018,,,
Hawthorn Garden,荷塘苑,,,,,70-70A Sing Woo Rd.,成和道70-70A號,,,,,1981,P,,
