Building Name (1),樓宇名稱 (一),Building Name (2),樓宇名稱 (二),Building Name (3),樓宇名稱 (三),Address (1),樓宇地址(一),Address (2),樓宇地址(二),Address (3),樓宇地址(三),"Year of Completion
落成年份","Owners' Corporation
業主立案法團",Remark,備註
Acro Industrial Building,雅高工業大樓,,,,,19 Yuk Yat St.,旭日街19號,,,,,1978,P,,
Adjoining Building,樂陞商業大廈,,,,,"Ground Floor:
279 & 283 Shanghai St.
Upper Floors:
281 Shanghai St.","地下︰
上海街279及283號
樓上各層︰
上海街281號",,,,,1976,,,
Admiralty Centre,海富中心,,,,,18 Harcourt Rd.,夏道18號,,,,,1980,,,
Adventure Ship,乘風航,,,,,200 Shum Wan Rd.,深灣道200號,,,,,1995,,,
Aegean Terrace,愛琴苑,,,,,60 Sassoon Rd.,沙宣道60號,,,,,1990,P,,
Agatha House,嘉泰大樓,,,,,"Ground Floor:
174/184A Temple St. &
19 Ning Po St.
Upper Floors:
21 Ning Po St.","地下︰
廟街174/184A號及
寧波街19號
樓上各層︰
寧波街21號",,,,,1965,P,,
AIA Central,友邦金融中心,,,,,1 Connaught Rd. C.,干諾道中1號,,,,,2005,,,
AIA Financial Centre,友邦九龍金融中心,,,,,712 Prince Edward Rd E,太子道東712號,,,,,2009,,,
AIA Hong Kong Tower,友邦香港大樓,,,,,734 King’s Rd,英皇道734號,,,,,1965,,,
AIA Kowloon Tower,友邦九龍大樓,,,,,"100 How Ming St.
Landmark East",巧明街100號,,,,,2008,,,
AIA Tower,友邦廣場,,,,,183 Electric Rd.,電氣道183號,,,,,1998,,,
AIE Building,亞洲大廈,,,,,33 Connaught Rd. C.,干諾道中33號,,,,,1976,P,,
Aigburth,譽皇居,,,,,12 Tregunter Path,地利根德里12號,,,,,1999,,,
Aik San Mansion,益新洋樓,,,,,"Ground Floor:
355, 359 & 361 King's Rd.
Upper Floors:
357 King's Rd.","地下︰ 
英皇道355、359及361號
樓上各層︰
英皇道357號",,,,,1977,P,,
Air Goal Cargo Building,威力貨運大廈,,,,,330 Kwun Tong Rd.,觀塘道330號,,,,,1991,P,,
Aitken Vanson Centre,金米蘭中心,,,,,61 Hoi Yuen Rd.,開源道61號,,,,,1998,,,
Ajisen Group Tower (Units B),味千集團大廈(B室),,,,,24/26 Sze Shan St.,四山街24/26號,,,,,1978,,,
Akvo Hotel,嘉賦酒店,,,,,57 Jervois St.,蘇杭街57號,,,,,2017,,,
Al-Aqmar House,愛瑪大廈,,,,,30 Hollywood Rd.,荷李活道30號,,,,,1983,,,
Alassio,殷然,,,,,100 Caine Rd.,堅道100號,,,,,2016,,,
Albany Court,雅鑾閣,,,,,51 Bisney Rd.,碧荔道51號,,,,,1993,,,
Albert House,添喜大廈,,,,,"Ground Floor:
20/24, 28 Chengtu Rd. &
12 Sai On St.
Upper Floors:
26 Chengtu Rd.","地下︰
成都道20/24、28號及
西安街12號
樓上各層︰
成都道26號",,,,,1973,P,,
Albion Gardens,愛賓花園,,,,,17-21 La Salle Rd.,喇沙利道17-21號,,,,,1981,P,,
Albion Plaza,愛賓商業大廈,,,,,2-6 Granville Rd.,加連威老道2-6號,,,,,1983,,,
Albron Court,豐樂閣,,,,,99 Caine Rd.,堅道99號,,,,,1985,P,,
"Aldrich Bay Government
Primary School",愛秩序灣官立小學,,,,,1 Oi Lai St.,愛禮街1號,,,,,-,,,
"Aldrich Bay Integrated 
Services Building ",愛秩序灣綜合服務大樓,,,,,15 Aldrich Bay Rd.  ,愛秩序灣道15號,,,,,-,,,
Aldrich Garden,愛蝶灣,,,,,2 Oi Lai St.,愛禮街2號,,,,,2000,,See Appendix V,見附錄V
Aldrich Garden,愛蝶灣,Blocks 1-10,第1至10座,,,,,,,,,,,See Appendix V,見附錄V
Aldrich House,愛秩序樓,,,,,"Ground Floor:
369/373 Shau Kei Wan
Rd. & 1/3 Aldrich St.
Upper Floors:
373 Shau Kei Wan Rd.","地下︰
筲箕灣道369/373號
及愛秩序街1/3號
樓上各層︰
筲箕灣道373號",,,,,1966,P,,
Alexandra House,歷山大廈,,,,,18 Chater Rd.,遮打道18號,,,,,1976,,,
Alexandra Industrial Building,安泰工業大廈,,,,,"Ground Floor:
1064/1066 Tung Chau
West St.
Upper Floors:
62 King Lam St. &
27 Wing Hong St.","地下︰
通州西街
1064/1066號
樓上各層︰
瓊林街62號及
永康街27號",,,,,1971,P,,
Alford House,,,,,,3 Upper Albert Rd.,上亞厘畢道3號,,,,,1955,,,
Alfred House,熙慶行,,,,,9 On Lan St.,安蘭街9號,,,,,1976,,,
Alhambra Building,平安大樓,,,,,"Ground Floor:
383/389C Nathan Rd. &
15-17 Kansu St.
Upper Floors:
385 Nathan Rd.","地下︰
彌敦道383/389C號及
甘肅街15-17號
樓上各層︰
彌敦道385號",,,,,1960,P,,
Alice Court,雅利閣,,,,,10 Tsat Tsz Mui Rd.,七姊妹道10號,,,,,1977,P,,
